id,label
1,0.994493
10,0.000704
100,0.338995
1000,0.999914
10000,0.995022
10001,0.000386
10002,0.023529
10003,0.987866
10004,0.863132
10005,0.000056
10006,0.000244
10007,0.001405
10008,0.000142
10009,0.013538
1001,0.000018
10010,0.999981
10011,0.999335
10012,0.000136
10013,0.001775
10014,0.039271
10015,0.994577
10016,0.208500
10017,0.000062
10018,0.012570
10019,0.001212
1002,0.998530
10020,0.000672
10021,0.004935
10022,0.929941
10023,0.930109
10024,1.000000
10025,0.446405
10026,0.999086
10027,0.999998
10028,0.032496
10029,0.901645
1003,0.999999
10030,0.999812
10031,0.015612
10032,0.578849
10033,0.004074
10034,1.000000
10035,0.996637
10036,0.999664
10037,0.014028
10038,0.940005
10039,0.999151
1004,0.999786
10040,0.002343
10041,0.999516
10042,0.450255
10043,0.999999
10044,0.000019
10045,0.053496
10046,0.997611
10047,0.998674
10048,1.000000
10049,0.000092
1005,0.000018
10050,0.078434
10051,0.016501
10052,0.002332
10053,0.920170
10054,0.017166
10055,0.040218
10056,0.999993
10057,0.044843
10058,0.944723
10059,0.894913
1006,0.999988
10060,0.978003
10061,0.024468
10062,0.000321
10063,0.988667
10064,0.999991
10065,0.484413
10066,0.216150
10067,0.007282
10068,0.000116
10069,0.139001
1007,0.999398
10070,0.999443
10071,0.000040
10072,0.000003
10073,0.715780
10074,0.081981
10075,0.173538
10076,0.424349
10077,0.000210
10078,0.999970
10079,0.001281
1008,0.000015
10080,1.000000
10081,0.561538
10082,0.018214
10083,0.001142
10084,1.000000
10085,0.997727
10086,1.000000
10087,0.999198
10088,0.000005
10089,0.125112
1009,1.000000
10090,0.086360
10091,0.107242
10092,0.967323
10093,0.143975
10094,0.985536
10095,0.000445
10096,0.999990
10097,0.999029
10098,0.999998
10099,0.004444
101,0.053582
1010,0.995576
10100,0.526060
10101,0.999983
10102,0.086890
10103,0.000799
10104,0.999996
10105,0.987711
10106,0.008852
10107,0.003523
10108,0.592984
10109,0.000000
1011,0.005992
10110,0.999925
10111,0.055338
10112,0.000007
10113,0.999972
10114,0.002547
10115,0.000043
10116,0.999585
10117,0.001278
10118,0.063746
10119,0.988993
1012,0.776240
10120,0.000060
10121,0.002946
10122,0.062842
10123,0.923641
10124,1.000000
10125,0.002040
10126,0.001264
10127,0.999538
10128,0.064085
10129,0.842761
1013,0.000011
10130,0.080964
10131,0.998956
10132,0.004360
10133,0.006620
10134,0.990057
10135,1.000000
10136,0.998625
10137,0.021175
